Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,0.032145,0.032176,0.032072,0.032146,0.032146,0
2021-06-16,0.032103,0.032123,0.032064,0.032092,0.032092,0
2021-06-17,0.031949,0.031985,0.031797,0.031950,0.031950,0
2021-06-18,0.031837,0.031918,0.031746,0.031847,0.031847,0
2021-06-21,0.031786,0.031807,0.031586,0.031776,0.031776,0
2021-06-22,0.031636,0.031648,0.031496,0.031631,0.031631,0
2021-06-23,0.031572,0.031594,0.031353,0.031556,0.031556,0
2021-06-24,0.031427,0.031437,0.031274,0.031427,0.031427,0
2021-06-25,0.031348,0.031530,0.031348,0.031349,0.031349,0
2021-06-28,0.031447,0.031456,0.031260,0.031452,0.031452,0
2021-06-29,0.031344,0.031348,0.031113,0.031348,0.031348,0
2021-06-30,0.031124,0.031279,0.031124,0.031129,0.031129,0
2021-07-01,0.031240,0.031323,0.031172,0.031268,0.031268,0
2021-07-02,0.031174,0.031216,0.030981,0.031174,0.031174,0
2021-07-05,0.031114,0.031216,0.031042,0.031118,0.031118,0
2021-07-06,0.031137,0.031196,0.030983,0.031162,0.031162,0
2021-07-07,0.030969,0.031041,0.030921,0.030970,0.030970,0
2021-07-08,0.030912,0.030921,0.030731,0.030921,0.030921,0
2021-07-09,0.030750,0.030788,0.030562,0.030741,0.030741,0
2021-07-12,0.030770,0.030770,0.030590,0.030760,0.030760,0
2021-07-13,0.030618,0.030741,0.030590,0.030618,0.030618,0
2021-07-14,0.030620,0.030694,0.030600,0.030618,0.030618,0
2021-07-15,0.030673,0.030694,0.030589,0.030672,0.030672,0
2021-07-16,0.030590,0.030609,0.030488,0.030583,0.030583,0
2021-07-19,0.030479,0.030506,0.030395,0.030479,0.030479,0
2021-07-20,0.030451,0.030537,0.030432,0.030451,0.030451,0
2021-07-21,0.030469,0.030506,0.030404,0.030469,0.030469,0
2021-07-22,0.030461,0.030489,0.030414,0.030441,0.030441,0
2021-07-23,0.030414,0.030432,0.030337,0.030415,0.030415,0
2021-07-26,0.030358,0.030404,0.030321,0.030358,0.030358,0
2021-07-27,0.030404,0.030460,0.030321,0.030414,0.030414,0
2021-07-28,0.030367,0.030469,0.030358,0.030370,0.030370,0
2021-07-29,0.030469,0.030492,0.030379,0.030479,0.030479,0
2021-07-30,0.030441,0.030460,0.030386,0.030451,0.030451,0
2021-08-02,0.030358,0.030404,0.030331,0.030377,0.030377,0
2021-08-03,0.030367,0.030386,0.030276,0.030366,0.030366,0
2021-08-04,0.030276,0.030294,0.030175,0.030294,0.030294,0
2021-08-05,0.030184,0.030243,0.030057,0.030175,0.030175,0
2021-08-06,0.030075,0.030075,0.029922,0.030071,0.030071,0
2021-08-09,0.029931,0.029949,0.029886,0.029922,0.029922,0
2021-08-10,0.029886,0.029913,0.029866,0.029886,0.029886,0
2021-08-11,0.029888,0.030153,0.029878,0.029895,0.029895,0
2021-08-12,0.030202,0.030372,0.030108,0.030213,0.030213,0
2021-08-13,0.030230,0.030248,0.029967,0.030239,0.030239,0
2021-08-16,0.030021,0.030032,0.029878,0.030021,0.030021,0
2021-08-17,0.029945,0.030095,0.029886,0.029949,0.029949,0
2021-08-18,0.030012,0.030209,0.029976,0.029994,0.029994,0
2021-08-19,0.030048,0.030048,0.029900,0.030026,0.030026,0
2021-08-20,0.029982,0.030048,0.029949,0.029982,0.029982,0
2021-08-23,0.030030,0.030086,0.029949,0.030030,0.030030,0
2021-08-24,0.030093,0.030451,0.030030,0.030084,0.030084,0
2021-08-25,0.030423,0.030600,0.030318,0.030416,0.030416,0
2021-08-26,0.030562,0.030600,0.030457,0.030548,0.030548,0
2021-08-27,0.030564,0.030741,0.030471,0.030544,0.030544,0
2021-08-30,0.030750,0.030878,0.030694,0.030750,0.030750,0
2021-08-31,0.030792,0.031075,0.030769,0.030799,0.030799,0
2021-09-01,0.031062,0.031109,0.030882,0.031085,0.031085,0
2021-09-02,0.030952,0.031003,0.030769,0.030979,0.030979,0
2021-09-03,0.030807,0.030893,0.030636,0.030825,0.030825,0
2021-09-06,0.030798,0.030939,0.030728,0.030807,0.030807,0
2021-09-07,0.030788,0.030845,0.030600,0.030798,0.030798,0
2021-09-08,0.030612,0.030628,0.030457,0.030618,0.030618,0
2021-09-09,0.030534,0.030628,0.030497,0.030534,0.030534,0
2021-09-10,0.030590,0.030684,0.030525,0.030581,0.030581,0
2021-09-13,0.030578,0.030578,0.030386,0.030572,0.030572,0
2021-09-14,0.030434,0.030460,0.030338,0.030432,0.030432,0
2021-09-15,0.030388,0.030460,0.030312,0.030404,0.030404,0
2021-09-16,0.030442,0.030465,0.030166,0.030441,0.030441,0
2021-09-17,0.030224,0.030224,0.030026,0.030195,0.030195,0
2021-09-20,0.030012,0.030048,0.029947,0.030022,0.030022,0
2021-09-21,0.029994,0.030021,0.029860,0.029994,0.029994,0
2021-09-22,0.029957,0.030004,0.029869,0.029949,0.029949,0
2021-09-23,0.029904,0.030180,0.029771,0.029916,0.029916,0
2021-09-24,0.029949,0.030021,0.029878,0.029949,0.029949,0
2021-09-27,0.029931,0.030030,0.029765,0.029940,0.029940,0
2021-09-28,0.029789,0.029789,0.029539,0.029780,0.029780,0
2021-09-29,0.029560,0.029621,0.029455,0.029551,0.029551,0
2021-09-30,0.029464,0.029775,0.029438,0.029467,0.029467,0
2021-10-01,0.029718,0.029801,0.029586,0.029691,0.029691,0
2021-10-04,0.029762,0.029771,0.029586,0.029744,0.029744,0
2021-10-05,0.029612,0.029656,0.029533,0.029603,0.029603,0
2021-10-06,0.029586,0.029605,0.029429,0.029577,0.029577,0
2021-10-07,0.029568,0.029674,0.029540,0.029586,0.029586,0
2021-10-08,0.029586,0.029650,0.029470,0.029595,0.029595,0
2021-10-11,0.029525,0.029780,0.029499,0.029499,0.029499,0
2021-10-12,0.029722,0.030089,0.029665,0.029711,0.029711,0
2021-10-13,0.030021,0.030166,0.029994,0.030012,0.030012,0
2021-10-14,0.030157,0.030177,0.030057,0.030148,0.030148,0
2021-10-15,0.030148,0.030175,0.029913,0.030148,0.030148,0
2021-10-18,0.029940,0.029940,0.029860,0.029913,0.029913,0
2021-10-19,0.029895,0.030111,0.029878,0.029895,0.029895,0
2021-10-20,0.029976,0.030021,0.029878,0.029976,0.029976,0
2021-10-21,0.029976,0.030046,0.029923,0.029985,0.029985,0
2021-10-22,0.029958,0.030093,0.029931,0.029958,0.029958,0
2021-10-25,0.030084,0.030276,0.030012,0.030039,0.030039,0
2021-10-26,0.030257,0.030331,0.030084,0.030267,0.030267,0
2021-10-27,0.030130,0.030175,0.029949,0.030135,0.030135,0
2021-10-28,0.030048,0.030148,0.029994,0.030037,0.030037,0
2021-10-29,0.030130,0.030193,0.029967,0.030130,0.030130,0
2021-11-01,0.030163,0.030232,0.029883,0.030168,0.030168,0
2021-11-02,0.030030,0.030111,0.029994,0.030030,0.030030,0
2021-11-03,0.030075,0.030109,0.029904,0.030066,0.030066,0
2021-11-04,0.030066,0.030075,0.029894,0.030075,0.030075,0
2021-11-05,0.029999,0.030120,0.029958,0.030003,0.030003,0
2021-11-08,0.030169,0.030397,0.030139,0.030178,0.030178,0
2021-11-09,0.030386,0.030572,0.030386,0.030389,0.030389,0
2021-11-10,0.030534,0.030610,0.030466,0.030534,0.030534,0
2021-11-11,0.030441,0.030534,0.030342,0.030453,0.030453,0
2021-11-12,0.030441,0.030562,0.030434,0.030460,0.030460,0
2021-11-15,0.030563,0.030652,0.030525,0.030566,0.030566,0
